ride_name,local_date,park_name,closed_count,total_count
Pirate Galleon,2025-01-27,disneylandparkparis,13,13
Grizzly River Run,2025-02-02,disneycaliforniaadventure,24,24
"""""""it's a small world""""""",2025-01-24,disneylandparkparis,13,13
Big Thunder Mountain,2025-02-02,disneylandparkparis,13,13
Disneyland Railroad,2025-01-24,disneyland,24,24
Frontierland Playground,2025-01-28,disneylandparkparis,12,12
Star Tours: The Adventures Continue*,2025-02-06,disneylandparkparis,13,13
Thunder Mesa Riverboat Landing,2025-02-02,disneylandparkparis,13,13
Disneyland Railroad Discoveryland Station,2025-01-29,disneylandparkparis,13,13
Pirate Galleon,2025-01-31,disneylandparkparis,14,14
Thunder Mesa Riverboat Landing,2025-01-22,disneylandparkparis,16,16
Disneyland Railroad Discoveryland Station,2025-02-06,disneylandparkparis,13,13
Meet Spider Man,2025-01-25,waltdisneystudiosparis,12,12
Disneyland Railroad Fantasyland Station,2025-01-26,disneylandparkparis,13,13
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-25,disneyland,24,24
River Rogue Keelboats,2025-02-08,disneylandparkparis,14,14
Pirate Galleon,2025-02-02,disneylandparkparis,13,13
Big Thunder Mountain,2025-02-07,disneylandparkparis,15,15
Meet Spider Man,2025-02-06,waltdisneystudiosparis,9,9
Pirates' Beach,2025-02-08,disneylandparkparis,14,14
Thunder Mesa Riverboat Landing,2025-01-27,disneylandparkparis,13,13
"""""""it's a small world""""""",2025-01-31,disneylandparkparis,13,13
Pirate Galleon,2025-02-03,disneylandparkparis,13,13
Meet Spider Man,2025-01-26,waltdisneystudiosparis,13,13
Disneyland Railroad Discoveryland Station,2025-02-04,disneylandparkparis,11,11
Meet Spider Man,2025-02-09,waltdisneystudiosparis,12,12
Thunder Mesa Riverboat Landing,2025-02-04,disneylandparkparis,11,11
Big Thunder Mountain,2025-01-22,disneylandparkparis,16,16
"""""""it's a small world""""""",2025-01-28,disneylandparkparis,12,12
Disneyland Railroad Fantasyland Station,2025-02-01,disneylandparkparis,13,13
Sailing Ship Columbia,2025-02-01,disneyland,24,24
Disneyland Railroad Fantasyland Station,2025-02-02,disneylandparkparis,13,13
Big Thunder Mountain,2025-01-31,disneylandparkparis,14,14
"""""""it's a small world""""""",2025-01-23,disneylandparkparis,14,14
Sleeping Beauty Castle Walkthrough,2025-01-24,disneyland,24,24
Grizzly River Run,2025-02-04,disneycaliforniaadventure,22,22
Thunder Mesa Riverboat Landing,2025-02-06,disneylandparkparis,13,13
Thunder Mesa Riverboat Landing,2025-01-25,disneylandparkparis,13,13
Frontierland Playground,2025-02-04,disneylandparkparis,11,11
Art of Disney Animation,2025-02-02,waltdisneystudiosparis,13,13
Art of Disney Animation,2025-02-05,waltdisneystudiosparis,11,11
Meet Spider Man,2025-01-27,waltdisneystudiosparis,11,11
Star Tours: The Adventures Continue*,2025-02-08,disneylandparkparis,14,14
River Rogue Keelboats,2025-02-06,disneylandparkparis,13,13
Disneyland Railroad Fantasyland Station,2025-01-25,disneylandparkparis,13,13
Meet Spider Man,2025-02-01,waltdisneystudiosparis,11,11
Pirates' Beach,2025-01-24,disneylandparkparis,13,13
River Rogue Keelboats,2025-02-01,disneylandparkparis,13,13
Grizzly River Run,2025-02-06,disneycaliforniaadventure,24,24
Luigi's Rollickin' Roadsters,2025-02-08,disneycaliforniaadventure,24,24
Star Tours: The Adventures Continue*,2025-02-05,disneylandparkparis,13,13
Big Thunder Mountain,2025-01-23,disneylandparkparis,14,14
River Rogue Keelboats,2025-01-28,disneylandparkparis,12,12
"""""""it's a small world""""""",2025-01-22,disneylandparkparis,14,14
Pirates' Beach,2025-01-25,disneylandparkparis,13,13
Meet Spider Man,2025-01-23,waltdisneystudiosparis,11,11
Pirates' Beach,2025-01-30,disneylandparkparis,13,13
Pirates' Beach,2025-02-05,disneylandparkparis,13,13
Cars ROAD TRIP,2025-02-04,waltdisneystudiosparis,8,8
Sailing Ship Columbia,2025-01-25,disneyland,24,24
Big Thunder Mountain,2025-01-29,disneylandparkparis,13,13
"""""""it's a small world""""""",2025-01-25,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-25,disneyland,24,24
Art of Disney Animation,2025-01-29,waltdisneystudiosparis,11,11
Art of Disney Animation,2025-02-06,waltdisneystudiosparis,11,11
Sailing Ship Columbia,2025-01-24,disneyland,24,24
River Rogue Keelboats,2025-02-02,disneylandparkparis,13,13
Thunder Mesa Riverboat Landing,2025-02-03,disneylandparkparis,13,13
Art of Disney Animation,2025-01-22,waltdisneystudiosparis,11,11
Meet Spider Man,2025-02-07,waltdisneystudiosparis,8,8
"""""""it's a small world""""""",2025-02-01,disneyland,24,24
Grizzly River Run,2025-02-03,disneycaliforniaadventure,24,24
Big Thunder Mountain,2025-01-28,disneylandparkparis,12,12
Disneyland Railroad Discoveryland Station,2025-01-27,disneylandparkparis,13,13
Frontierland Playground,2025-02-09,disneylandparkparis,13,13
Frontierland Playground,2025-02-01,disneylandparkparis,13,13
River Rogue Keelboats,2025-01-24,disneylandparkparis,13,13
Meet Spider Man,2025-01-31,waltdisneystudiosparis,11,11
Frontierland Playground,2025-02-05,disneylandparkparis,13,13
Disneyland Railroad Discoveryland Station,2025-01-28,disneylandparkparis,12,12
River Rogue Keelboats,2025-01-25,disneylandparkparis,13,13
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-02,disneyland,24,24
Thunder Mesa Riverboat Landing,2025-02-07,disneylandparkparis,15,15
Disneyland Railroad Discoveryland Station,2025-01-30,disneylandparkparis,13,13
Pirates' Beach,2025-01-28,disneylandparkparis,12,12
River Rogue Keelboats,2025-02-03,disneylandparkparis,13,13
The Disney Gallery,2025-01-25,disneyland,24,24
Thunder Mesa Riverboat Landing,2025-01-26,disneylandparkparis,13,13
Thunder Mesa Riverboat Landing,2025-02-09,disneylandparkparis,13,13
Thunder Mesa Riverboat Landing,2025-01-30,disneylandparkparis,13,13
Meet Spider Man,2025-02-05,waltdisneystudiosparis,11,11
Disneyland Railroad Fantasyland Station,2025-01-24,disneylandparkparis,13,13
Frontierland Playground,2025-02-06,disneylandparkparis,13,13
Disneyland Railroad,2025-02-01,disneyland,24,24
Pirates' Beach,2025-02-04,disneylandparkparis,11,11
Pirate Galleon,2025-01-29,disneylandparkparis,13,13
Pirates' Beach,2025-01-22,disneylandparkparis,16,16
Big Thunder Mountain,2025-02-01,disneylandparkparis,13,13
Star Wars Launch Bay Theater,2025-02-09,disneyhollywoodstudios,24,24
Frontierland Playground,2025-02-03,disneylandparkparis,13,13
Star Tours: The Adventures Continue*,2025-02-09,disneylandparkparis,13,13
Pirate Galleon,2025-02-07,disneylandparkparis,15,15
River Rogue Keelboats,2025-01-30,disneylandparkparis,13,13
Pirate Galleon,2025-01-30,disneylandparkparis,13,13
Big Thunder Mountain,2025-02-09,disneylandparkparis,13,13
Big Thunder Mountain,2025-02-04,disneylandparkparis,11,11
Star Tours: The Adventures Continue*,2025-02-03,disneylandparkparis,13,13
Frontierland Playground,2025-01-26,disneylandparkparis,13,13
River Rogue Keelboats,2025-01-29,disneylandparkparis,13,13
Frontierland Playground,2025-01-22,disneylandparkparis,16,16
"""""""it's a small world""""""",2025-01-27,disneylandparkparis,13,13
Pirate Galleon,2025-01-24,disneylandparkparis,13,13
Meet Spider Man,2025-02-04,waltdisneystudiosparis,6,6
Sleeping Beauty Castle Walkthrough,2025-02-01,disneyland,24,24
"Le Pays des Contes de Fées, presented by Vittel",2025-01-24,disneylandparkparis,13,13
Disneyland Railroad Discoveryland Station,2025-02-07,disneylandparkparis,15,15
Pirate Galleon,2025-02-05,disneylandparkparis,13,13
Big Thunder Mountain,2025-02-08,disneylandparkparis,14,14
River Rogue Keelboats,2025-01-22,disneylandparkparis,16,16
Grizzly River Run,2025-01-31,disneycaliforniaadventure,24,24
Meet Spider Man,2025-01-29,waltdisneystudiosparis,9,9
Disneyland Railroad Discoveryland Station,2025-02-01,disneylandparkparis,13,13
Pirates' Beach,2025-01-29,disneylandparkparis,13,13
Pirate Galleon,2025-01-28,disneylandparkparis,12,12
Thunder Mesa Riverboat Landing,2025-01-28,disneylandparkparis,12,12
Art of Disney Animation,2025-01-26,waltdisneystudiosparis,13,13
Art of Disney Animation,2025-02-04,waltdisneystudiosparis,8,8
Big Thunder Mountain,2025-02-03,disneylandparkparis,13,13
Disneyland Railroad Discoveryland Station,2025-02-08,disneylandparkparis,14,14
Art of Disney Animation,2025-01-31,waltdisneystudiosparis,11,11
River Rogue Keelboats,2025-02-09,disneylandparkparis,13,13
Disneyland Railroad Discoveryland Station,2025-01-25,disneylandparkparis,13,13
Disneyland Monorail,2025-02-02,disneyland,24,24
Sailing Ship Columbia,2025-02-02,disneyland,24,24
Pirates' Beach,2025-02-02,disneylandparkparis,13,13
Disneyland Railroad,2025-02-02,disneyland,24,24
Disneyland Railroad Fantasyland Station,2025-02-08,disneylandparkparis,14,14
Pirate Galleon,2025-02-09,disneylandparkparis,13,13
Grizzly River Run,2025-02-08,disneycaliforniaadventure,24,24
Red Car Trolley,2025-02-09,disneycaliforniaadventure,24,24
Big Thunder Mountain,2025-02-06,disneylandparkparis,13,13
River Rogue Keelboats,2025-02-07,disneylandparkparis,15,15
Art of Disney Animation,2025-01-24,waltdisneystudiosparis,11,11
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-01,disneyland,24,24
Pirates' Beach,2025-02-09,disneylandparkparis,13,13
Pirate Galleon,2025-02-04,disneylandparkparis,11,11
Big Thunder Mountain,2025-01-27,disneylandparkparis,13,13
Pirates' Beach,2025-02-06,disneylandparkparis,13,13
Disneyland Railroad Fantasyland Station,2025-01-27,disneylandparkparis,13,13
Frontierland Playground,2025-01-23,disneylandparkparis,14,14
Star Tours: The Adventures Continue*,2025-02-07,disneylandparkparis,15,15
Meet Spider Man,2025-02-02,waltdisneystudiosparis,10,10
Art of Disney Animation,2025-01-30,waltdisneystudiosparis,11,11
"""""""it's a small world""""""",2025-02-02,disneyland,24,24
The Disney Gallery,2025-01-24,disneyland,24,24
Disneyland Railroad Discoveryland Station,2025-01-24,disneylandparkparis,13,13
Disneyland Monorail,2025-01-24,disneyland,24,24
Art of Disney Animation,2025-01-23,waltdisneystudiosparis,11,11
Disneyland Railroad Discoveryland Station,2025-01-22,disneylandparkparis,16,16
Disneyland Railroad Fantasyland Station,2025-01-30,disneylandparkparis,13,13
Disneyland Railroad Fantasyland Station,2025-01-31,disneylandparkparis,14,14
Thunder Mesa Riverboat Landing,2025-02-01,disneylandparkparis,13,13
Pirates' Beach,2025-01-23,disneylandparkparis,14,14
Disneyland Railroad Discoveryland Station,2025-01-31,disneylandparkparis,14,14
Art of Disney Animation,2025-01-28,waltdisneystudiosparis,10,10
Grizzly River Run,2025-02-01,disneycaliforniaadventure,24,24
Grizzly River Run,2025-02-09,disneycaliforniaadventure,24,24
Big Thunder Mountain,2025-01-24,disneylandparkparis,13,13
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-24,disneyland,24,24
River Rogue Keelboats,2025-02-04,disneylandparkparis,11,11
Big Thunder Mountain,2025-01-25,disneylandparkparis,13,13
Big Thunder Mountain,2025-01-26,disneylandparkparis,13,13
Art of Disney Animation,2025-02-07,waltdisneystudiosparis,10,10
Luigi's Rollickin' Roadsters,2025-02-06,disneycaliforniaadventure,24,24
Disneyland Railroad,2025-01-25,disneyland,24,24
Pirate Galleon,2025-02-06,disneylandparkparis,13,13
"""""""it's a small world""""""",2025-01-29,disneylandparkparis,13,13
Pirate Galleon,2025-02-08,disneylandparkparis,14,14
Frontierland Playground,2025-01-30,disneylandparkparis,13,13
Davy Crockett's Explorer Canoes,2025-01-30,disneyland,24,24
Disneyland Railroad,2025-01-31,disneyland,24,24
Sailing Ship Columbia,2025-01-28,disneyland,23,23
Sleeping Beauty Castle Walkthrough,2025-02-08,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-26,disneyland,24,24
Disneyland Railroad,2025-02-03,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-03,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-22,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-02-06,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-08,disneyland,24,24
Grizzly River Run,2025-01-22,disneycaliforniaadventure,24,24
Disneyland Railroad,2025-02-07,disneyland,23,23
The Disney Gallery,2025-02-06,disneyland,24,24
Disneyland Railroad,2025-02-08,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-01-28,disneyland,23,23
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-23,disneyland,24,24
Disneyland Monorail,2025-01-23,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-29,disneyland,24,24
World of Color - Season of Light,2025-01-23,disneycaliforniaadventure,24,24
"""""""it's a small world""""""",2025-02-09,disneyland,24,24
Inside Out Emotional Whirlwind,2025-01-23,disneycaliforniaadventure,24,24
"""""""it's a small world""""""",2025-02-07,disneyland,23,23
Sleeping Beauty Castle Walkthrough,2025-01-30,disneyland,24,24
Disneyland Railroad,2025-02-09,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-26,disneyland,24,24
Disneyland Monorail,2025-01-28,disneyland,23,23
Sleeping Beauty Castle Walkthrough,2025-02-05,disneyland,24,24
Disneyland Railroad,2025-01-26,disneyland,24,24
Grizzly River Run,2025-02-07,disneycaliforniaadventure,23,23
Disneyland Monorail,2025-02-07,disneyland,23,23
Disneyland Railroad,2025-02-04,disneyland,22,22
Sailing Ship Columbia,2025-01-22,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-02-03,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-01-22,disneyland,24,24
Grizzly River Run,2025-01-23,disneycaliforniaadventure,24,24
"""""""it's a small world"""" Holiday""",2025-01-24,disneyland,4,4
Disneyland Railroad,2025-01-23,disneyland,24,24
Disneyland Monorail,2025-01-22,disneyland,24,24
The Disney Gallery,2025-02-08,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-01-23,disneyland,24,24
Grizzly River Run,2025-01-28,disneycaliforniaadventure,23,23
Sailing Ship Columbia,2025-02-03,disneyland,24,24
"""""""it's a small world""""""",2025-02-08,disneyland,24,24
Disneyland Monorail,2025-02-08,disneyland,24,24
Disneyland Railroad,2025-01-29,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-02-09,disneyland,24,24
Disneyland Railroad,2025-01-30,disneyland,24,24
The Disney Gallery,2025-02-04,disneyland,22,22
Sleeping Beauty Castle Walkthrough,2025-02-04,disneyland,22,22
Grizzly River Run,2025-01-25,disneycaliforniaadventure,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-05,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-23,disneyland,24,24
The Disney Gallery,2025-01-28,disneyland,23,23
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-09,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-29,disneyland,24,24
Grizzly River Run,2025-01-29,disneycaliforniaadventure,24,24
World of Color - Season of Light,2025-01-24,disneycaliforniaadventure,4,4
Grizzly River Run,2025-01-27,disneycaliforniaadventure,24,24
Goofy's Sky School,2025-01-26,disneycaliforniaadventure,24,24
Sailing Ship Columbia,2025-02-04,disneyland,22,22
Sailing Ship Columbia,2025-01-30,disneyland,24,24
Sailing Ship Columbia,2025-02-07,disneyland,23,23
Disneyland Railroad,2025-01-22,disneyland,24,24
Disneyland Monorail,2025-01-30,disneyland,24,24
Sailing Ship Columbia,2025-02-08,disneyland,24,24
The Disney Gallery,2025-01-29,disneyland,24,24
World of Color - Season of Light,2025-01-22,disneycaliforniaadventure,24,24
Disneyland Monorail,2025-01-26,disneyland,24,24
Disneyland Monorail,2025-02-09,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-01-29,disneyland,24,24
Casey Jr. Circus Train,2025-01-22,disneyland,24,24
Disneyland Railroad,2025-02-05,disneyland,24,24
Sailing Ship Columbia,2025-02-06,disneyland,24,24
Disneyland Monorail,2025-02-03,disneyland,24,24
Inside Out Emotional Whirlwind,2025-01-22,disneycaliforniaadventure,24,24
"""""""it's a small world""""""",2025-01-27,disneyland,24,24
The Disney Gallery,2025-01-27,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-28,disneyland,23,23
Sailing Ship Columbia,2025-01-27,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-31,disneyland,24,24
Pirate's Lair on Tom Sawyer Island,2025-02-07,disneyland,23,23
The Disney Gallery,2025-01-22,disneyland,24,24
"""""""it's a small world""""""",2025-01-28,disneyland,23,23
Disneyland Railroad,2025-01-28,disneyland,23,23
The Disney Gallery,2025-01-30,disneyland,24,24
Guardians of the Galaxy - Monsters After Dark,2025-01-22,disneycaliforniaadventure,24,24
Grizzly River Run,2025-01-26,disneycaliforniaadventure,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-27,disneyland,24,24
Luigi's Rollickin' Roadsters,2025-01-26,disneycaliforniaadventure,24,24
Disneyland Railroad,2025-02-06,disneyland,24,24
Disneyland Monorail,2025-02-05,disneyland,24,24
"""""""it's a small world""""""",2025-02-03,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-01-22,disneyland,24,24
The Disney Gallery,2025-02-03,disneyland,24,24
"""""""it's a small world""""""",2025-01-29,disneyland,24,24
The Disney Gallery,2025-02-09,disneyland,24,24
"""""""it's a small world""""""",2025-01-30,disneyland,24,24
Disneyland Monorail,2025-01-29,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-31,disneyland,24,24
Disneyland Monorail,2025-01-31,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-02-06,disneyland,24,24
The Disney Gallery,2025-01-26,disneyland,24,24
Sailing Ship Columbia,2025-01-23,disneyland,24,24
Sailing Ship Columbia,2025-01-26,disneyland,24,24
Sleeping Beauty Castle Walkthrough,2025-02-07,disneyland,23,23
Davy Crockett's Explorer Canoes,2025-02-04,disneyland,22,22
Disneyland Railroad,2025-01-27,disneyland,24,24
The Disney Gallery,2025-02-07,disneyland,23,23
"""""""it's a small world""""""",2025-01-26,disneyland,24,24
Davy Crockett's Explorer Canoes,2025-01-27,disneyland,24,24
Disneyland Monorail,2025-02-06,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-07,disneyland,23,23
"""""""it's a small world""""""",2025-01-31,disneyland,24,24
Guardians of the Galaxy - Monsters After Dark,2025-01-23,disneycaliforniaadventure,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-28,disneyland,23,23
Sleeping Beauty Castle Walkthrough,2025-02-03,disneyland,24,24
"""""""it's a small world"""" Holiday""",2025-01-23,disneyland,24,24
Disneyland Monorail,2025-01-27,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-06,disneyland,24,24
Luigi's Rollickin' Roadsters,2025-02-07,disneycaliforniaadventure,23,23
"""""""it's a small world""""""",2025-02-06,disneyland,24,24
Guardians of the Galaxy - Monsters After Dark,2025-01-24,disneycaliforniaadventure,4,4
Davy Crockett's Explorer Canoes,2025-02-05,disneyland,24,24
Sailing Ship Columbia,2025-02-05,disneyland,24,24
"""""""it's a small world"""" Holiday""",2025-01-22,disneyland,24,24
Golden Zephyr,2025-01-23,disneycaliforniaadventure,24,24
Sleeping Beauty Castle Walkthrough,2025-01-27,disneyland,24,24
Pirate's Lair on Tom Sawyer Island,2025-02-06,disneyland,24,24
The Disney Gallery,2025-02-05,disneyland,24,24
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-01-30,disneyland,24,24
The Disney Gallery,2025-01-31,disneyland,24,24
The Disney Gallery,2025-01-23,disneyland,24,24
"""""""it's a small world""""""",2025-02-04,disneyland,22,22
The Disneyland Story presenting Great Moments with Mr. Lincoln,2025-02-04,disneyland,22,22
Sailing Ship Columbia,2025-01-31,disneyland,24,24
Grizzly River Run,2025-01-24,disneycaliforniaadventure,24,24
"""""""it's a small world""""""",2025-02-05,disneyland,24,24
Disneyland Monorail,2025-02-04,disneyland,22,22
Sailing Ship Columbia,2025-01-29,disneyland,24,24
Grizzly River Run,2025-01-30,disneycaliforniaadventure,24,24
